tempo,threads,tamanho
"6,581438",,500x500
"8,495960",,500x500
"6,357171",,500x500
"6,770284",1,500x500
"10,082210",1,500x500
"7,338856",1,500x500
"4,169627",2,500x500
"3,188248",2,500x500
"3,486911",2,500x500
"2,513102",4,500x500
"2,654750",4,500x500
"3,132188",4,500x500
"2,720397",8,500x500
"2,685476",8,500x500
"2,902241",8,500x500
"56,084002",,1000x1000
"55,233235",,1000x1000
"53,887188",,1000x1000
"51,314722",1,1000x1000
"51,196265",1,1000x1000
"56,066278",1,1000x1000
"32,109477",2,1000x1000
"34,076530",2,1000x1000
"27,252497",2,1000x1000
"21,158233",4,1000x1000
"19,606869",4,1000x1000
"15,923533",4,1000x1000
"17,346333",8,1000x1000
"16,955178",8,1000x1000
"18,895811",8,1000x1000
"482,947614",,2000x2000
"463,961102",,2000x2000
